,Category Significance,Chowder A,Chowder B,Chowder C,Chowder D
Creaminess,,8,8,,
Consonant Seasoning,,7,,,
Seasonal Consonance,,4,,,
Fragrance,,8,10,,
Turbidity,,3,9,,
Topicality,,2,10,,
Chunk Balance,,2,8,,
Ingenuity,,8,6,,

,Category Significance,Chowder A,Chowder B,Chowder C,Chowder D
Creaminess,10,,,7,
Consonant Seasoning,7,,,8,
Seasonal Consonance,4,,,8,
Fragrance,8,,,5,
Turbidity,8,,,10,
Topicality,2,,,10,
Chunk Balance,8,,,6,
Ingenuity,0,,,5,

,Category Significance,Chowder A,Chowder B,Chowder C,Chowder D
Creaminess,6,2,5,7,6
Consonant Seasoning,5,6,7,7,7
Seasonal Consonance,4,3,6,6,7
Fragrance,2,2,6,7,8
Turbidity,10,0,10,9,8
Topicality,9,5,7,10,8
Chunk Balance,8,4,8,8,9
Ingenuity,7,10,10,7,8

,Category Significance,Chowder A,Chowder B,Chowder C,Chowder D
Creaminess,2,8,5,10,5
Consonant Seasoning,5,6,5,8,7
Seasonal Consonance,8,7,7,7,7
Fragrance,4,9,8,8,10
Turbidity,7,10,10,5,10
Topicality,1,8,8,10,10
Chunk Balance,3,9,9,8,6
Ingenuity,6,7,7,8,9

,Category Significance,Chowder A,Chowder B,Chowder C,Chowder D
Creaminess,,6,4,10,8
Consonant Seasoning,,6,6,8,6
Seasonal Consonance,,6,9,6,8
Fragrance,,7,7,7,10
Turbidity,,5,5,5,5
Topicality,,5,5,5,5
Chunk Balance,,4,7,5,7
Ingenuity,,9,10,7,8

,Category Significance,Chowder A,Chowder B,Chowder C,Chowder D
Creaminess,10,3,8,9,7
Consonant Seasoning,0,6,5,7,6
Seasonal Consonance,7,6,7,6,7
Fragrance,8,6,5,10,8
Turbidity,6,8,7,8,8
Topicality,6,3,4,5,8
Chunk Balance,8,3,8,8,7
Ingenuity,7,7,4,3,5

,Category Significance,Chowder A,Chowder B,Chowder C,Chowder D
Creaminess,4,6,8,,2
Consonant Seasoning,8,4,7,,5
Seasonal Consonance,8,5,7,,6
Fragrance,9,1,6,,6
Turbidity,2,6,4,,2
Topicality,3,7,5,,8
Chunk Balance,4,5,4,,8
Ingenuity,4,6,5,,8

,Category Significance,Chowder A,Chowder B,Chowder C,Chowder D
